id,text,category,priority
1163,Suggest dustbin at Rajiv Gandhi Square park entrance gate Kindly look into this matter.,Sanitation,Low
1164,Main pipeline burst water flooding LIG Colony road completely This is causing great inconvenience.,Water Issues,High
1165,No potable water available entire Scheme 78 ward for 1 days Residents are suffering.,Water Issues,High
1166,Water quality slightly bad odour in Agrawal Nagar supply Kindly look into this matter.,Water Issues,Medium
1167,Dustbin overflowing garbage spilling on road at Agrawal Nagar This is causing great inconvenience.,Sanitation,Medium
1168,Suggest footpath construction along Gandhi Nagar road,Roads & Potholes,Low
1169,Dustbin overflowing garbage spilling on road at Bhawarkua This has been ignored for long.,Sanitation,Medium
1170,Request to increase water supply timing at Bangali Chowk Residents are suffering.,Water Issues,Low
1171,Water connection pipe broken needs replacement at Malharganj Residents are suffering.,Water Issues,Medium
1172,Manhole overflow raw sewage on road at Bhawarkua colony This has been ignored for long.,Sanitation,High
1173,Power fluctuation damaging appliances in Dewas Naka homes Please resolve urgently.,Electricity,Medium
1174,Request light timer adjustment for Nipania street lights,Street Lights,Low
1175,Electric meter box burnt fire risk in Nipania building,Electricity,High
1176,Request rainwater harvesting system for Bombay Hospital Road colony Please take immediate action.,Water Issues,Low
1177,Water supply available only 10 hours daily in Regal Square,Water Issues,Medium
1178,Frequent power cuts 5 times daily affecting Rajendra Nagar Residents are suffering.,Electricity,Medium
1179,Water pipeline burst near Gandhi Nagar road flooded no supply,Water Issues,High
1180,Street light not working since 5 days at Polo Ground,Street Lights,Medium
1181,Request rumble strips near Bombay Hospital Road school zone This is causing great inconvenience.,Roads & Potholes,Low
1182,Overhead tank dirty needs cleaning in MG Road colony This has been ignored for long.,Water Issues,Medium
1183,Street light pole rusted leaning at Marimata Chowk needs repair,Street Lights,Medium
1184,Suggest footpath construction along Sanyogitaganj road Please resolve urgently.,Roads & Potholes,Low
1185,Pothole near Dewas Naka school children at risk daily Kindly look into this matter.,Roads & Potholes,Medium
1186,Rats infestation in Bombay Hospital Road colony garbage issue This is causing great inconvenience.,Sanitation,Medium
1187,Large pothole caused serious accident injury at MG Road This has been ignored for long.,Roads & Potholes,High
1188,Suggest cycle track along Scheme 54 main road This has been ignored for long.,Roads & Potholes,Low
1189,Street lights dim not bright enough at Sukhliya road,Street Lights,Medium
1190,Request additional power socket in LIG Colony community hall Please resolve urgently.,Electricity,Low
1191,Transformer blast fire sparks at Old Palasia urgent needed This is causing great inconvenience.,Electricity,High
1192,Water bill correction request for Sanyogitaganj address Kindly look into this matter.,Water Issues,Low
1193,Request additional dustbin near Malharganj bus stop This has been ignored for long.,Sanitation,Low
1194,Street light timer wrong on at daytime at Lasudia This is causing great inconvenience.,Street Lights,Medium
1195,Garbage dump fire toxic smoke affecting Treasure Island Area residents,Sanitation,High
1196,Street light on during day wasting electricity at Gandhi Nagar This is causing great inconvenience.,Electricity,Medium
1197,Suggest road divider plantation beautification at Agrawal Nagar Kindly look into this matter.,Roads & Potholes,Low
1198,Suggest composting unit for Bombay Hospital Road wet waste,Sanitation,Low
1199,High mast light tower tilting about to fall at Sapna Sangeeta Road,Street Lights,High
1200,Entire Sector 12 colony dark for 14 nights crime risk high,Street Lights,High
1201,Suggest cycle track along Gandhi Nagar main road,Roads & Potholes,Low
1202,Massive deep pothole causing accidents at Sector 12 highway Please take immediate action.,Roads & Potholes,High
1203,Construction debris dumped illegally at Khajrana road Kindly look into this matter.,Sanitation,Medium
1204,Underground pipeline leaking water gushing out at Pardesipura Please resolve urgently.,Water Issues,High
1205,Toxic waste dumped illegally near Juni Indore water body Kindly look into this matter.,Sanitation,High
1206,Water meter replacement requested for old meter at Dewas Naka,Water Issues,Low
1207,Dead animals decomposing on road health hazard at Dewas Naka This is causing great inconvenience.,Sanitation,High
1208,Suggest lights on Bangali Chowk walking track path Residents are suffering.,Street Lights,Low
1209,Suggest parking area demarcation at Residency Area market,Roads & Potholes,Low
1210,Dirty black water coming from taps in Bangali Chowk since 4 days,Water Issues,High
1211,High mast light tower tilting about to fall at Shivaji Nagar Residents are suffering.,Street Lights,High
1212,Main pipeline burst water flooding Bhanwarkua road completely Kindly look into this matter.,Water Issues,High
1213,Water supply available only 2 hours daily in South Tukoganj,Water Issues,Medium
1214,Meter reading not done for 6 months in Khajrana This is causing great inconvenience.,Electricity,Medium
1215,Broken water main causing massive flooding near Regal Square,Water Issues,High
1216,Power fluctuation damaging appliances in Bijalpur homes,Electricity,Medium
1217,Half the street lights in Rajiv Gandhi Square colony not working Residents are suffering.,Street Lights,Medium
1218,Speed breaker broken uneven causing discomfort at Kanadiya Road,Roads & Potholes,Medium
1219,Traffic signal light not working properly at Residency Area Please resolve urgently.,Roads & Potholes,Medium
1220,Garbage piling up for 2 days no collection Shivaji Nagar,Sanitation,Medium
1221,High voltage wire touching tree branches at Chandan Nagar risk Kindly look into this matter.,Electricity,High
1222,Multiple potholes on Rajiv Gandhi Square road causing vehicle damage This is causing great inconvenience.,Roads & Potholes,Medium
1223,Suggest footpath construction along Rau road,Roads & Potholes,Low
1224,Electric short circuit fire sparks from box at Marimata Chowk Residents are suffering.,Electricity,High
1225,Garbage piling up for 7 days no collection Ring Road This is causing great inconvenience.,Sanitation,Medium
1226,Request cleaning of Sukhliya park pond water body,Sanitation,Low
1227,Pothole near Sukhliya school children at risk daily This is causing great inconvenience.,Roads & Potholes,Medium
1228,Water pressure very low only trickle coming in Tilak Nagar,Water Issues,Medium
1229,Open manhole cover missing accident risk at Bombay Hospital Road road Residents are suffering.,Roads & Potholes,High
1230,Toxic waste dumped illegally near Race Course Road water body Please resolve urgently.,Sanitation,High
1231,Dirty black water coming from taps in Vijay Nagar since 2 days This is causing great inconvenience.,Water Issues,High
1232,Suggest CCTV with lights at Scheme 140 entry point This is causing great inconvenience.,Street Lights,Low
1233,Large pothole caused serious accident injury at Regal Square Please take immediate action.,Roads & Potholes,High
1234,Suggest solar lights for MG Road park pathway This has been ignored for long.,Electricity,Low
1235,High voltage wire touching tree branches at Polo Ground risk,Electricity,High
1236,Request rumble strips near Rajiv Gandhi Square school zone Please take immediate action.,Roads & Potholes,Low
1237,Road surface worn out needs resurfacing at Polo Ground This has been ignored for long.,Roads & Potholes,Medium
1238,Suggest solar lights for Lasudia park pathway Please resolve urgently.,Electricity,Low
1239,Electricity supply unstable voltage fluctuation Khajrana,Electricity,Medium
1240,Sewage overflow flooding entire AB Road road since 5 days This is causing great inconvenience.,Sanitation,High
1241,Request cleaning of Bypass Road park pond water body,Sanitation,Low
1242,Sewage entering residential area Scheme 54 disease outbreak risk This has been ignored for long.,Sanitation,High
1243,Suggest zebra crossing painting at Scheme 54 junction Please resolve urgently.,Roads & Potholes,Low
1244,Electric pole tilting about to fall on road at Tilak Nagar This is causing great inconvenience.,Electricity,High
1245,Frequent power cuts 4 times daily affecting MG Road,Electricity,Medium
1246,Suggest dustbin at Sapna Sangeeta Road park entrance gate Please resolve urgently.,Sanitation,Low
1247,Request reflector posts on AB Road road curve,Roads & Potholes,Low
1248,Public toilet dirty unhygienic condition at Kanadiya Road,Sanitation,Medium
1249,Water supply timing irregular in Sector 12 ward,Water Issues,Medium
1250,Request for new water connection at Nanda Nagar plot Kindly look into this matter.,Water Issues,Low
1251,Multiple potholes on Bhanwarkua road causing vehicle damage This has been ignored for long.,Roads & Potholes,Medium
1252,Suggest additional water tap point near Annapurna Road park Residents are suffering.,Water Issues,Low
1253,All street lights not working Marimata Chowk area completely dark,Street Lights,High
1254,Request public toilet construction near Khajrana market This has been ignored for long.,Sanitation,Low
1255,Drain blocked water stagnating mosquitoes breeding Tilak Nagar Residents are suffering.,Sanitation,Medium
1256,Open drain overflowing sewage water entering homes at Palasia This has been ignored for long.,Sanitation,High
1257,Street light timer wrong on at daytime at Ring Road This has been ignored for long.,Street Lights,Medium
1258,Suggest lights on Bangali Chowk walking track path,Street Lights,Low
1259,Garbage vehicle not coming on schedule to AB Road,Sanitation,Medium
1260,Suggest additional water tap point near Musakhedi park,Water Issues,Low
